0.046440	0.046440	
3.900227	3.900227	
7.029478	7.029478	
11.337868	11.337868	
16.870748	16.870748	
24.988662	24.988662	
30.657596	30.657596	
36.190476	36.190476	
40.997732	40.997732	
46.303855	46.303855	
49.478458	49.478458	
53.650794	53.650794	
57.654422	57.654422	
60.783673	60.783673	
65.092063	65.092063	
70.624943	70.624943	
78.742857	78.742857	
84.411791	84.411791	
89.944671	89.944671	
94.751927	94.751927	
100.058050	100.058050	
103.232653	103.232653	
107.404989	107.404989	
111.408617	111.408617	
114.537868	114.537868	
118.846259	118.846259	
124.379138	124.379138	
132.497052	132.497052	
138.165986	138.165986	
143.698866	143.698866	
148.506122	148.506122	
153.812245	153.812245	
156.986848	156.986848	
161.159184	161.159184	
0.046440	0.046440	
3.900227	3.900227	
7.029478	7.029478	
11.337868	11.337868	
16.870748	16.870748	
24.988662	24.988662	
30.657596	30.657596	
36.190476	36.190476	
40.997732	40.997732	
46.303855	46.303855	
49.478458	49.478458	
53.650794	53.650794	
57.654422	57.654422	
60.783673	60.783673	
65.092063	65.092063	
70.624943	70.624943	
78.742857	78.742857	
84.411791	84.411791	
89.944671	89.944671	
94.751927	94.751927	
100.058050	100.058050	
103.232653	103.232653	
107.404989	107.404989	
111.408617	111.408617	
114.537868	114.537868	
118.846259	118.846259	
124.379138	124.379138	
132.497052	132.497052	
138.165986	138.165986	
143.698866	143.698866	
148.506122	148.506122	
153.812245	153.812245	
156.986848	156.986848	
